"filename", "language", "C++", "Python", "Markdown", "Java", "comment", "blank", "total"
"e:\F_Backup\leetcode\jz11\simpleone.cpp", "C++", 14, 0, 0, 0, 1, 0, 15
"e:\F_Backup\leetcode\jz11\二分.cpp", "C++", 20, 0, 0, 0, 5, 0, 25
"e:\F_Backup\leetcode\jz13\jz13.cpp", "C++", 33, 0, 0, 0, 2, 3, 38
"e:\F_Backup\leetcode\jz22\2pointer.cpp", "C++", 18, 0, 0, 0, 8, 0, 26
"e:\F_Backup\leetcode\jz22\bruteforce.cpp", "C++", 13, 0, 0, 0, 8, 0, 21
"e:\F_Backup\leetcode\jz24.cpp", "C++", 38, 0, 0, 0, 0, 2, 40
"e:\F_Backup\leetcode\jz26.cpp", "C++", 27, 0, 0, 0, 7, 0, 34
"e:\F_Backup\leetcode\jz28\jz28.cpp", "C++", 33, 0, 0, 0, 0, 1, 34
"e:\F_Backup\leetcode\jz28\jz28recur.cpp", "C++", 16, 0, 0, 0, 2, 2, 20
"e:\F_Backup\leetcode\jz29.cpp", "C++", 36, 0, 0, 0, 1, 0, 37
"e:\F_Backup\leetcode\jz30.cpp", "C++", 35, 0, 0, 0, 10, 5, 50
"e:\F_Backup\leetcode\jz32-2.cpp", "C++", 25, 0, 0, 0, 11, 0, 36
"e:\F_Backup\leetcode\jz32.cpp", "C++", 20, 0, 0, 0, 9, 0, 29
"e:\F_Backup\leetcode\jz54\54.inordertraversal.cpp", "C++", 22, 0, 0, 0, 3, 0, 25
"e:\F_Backup\leetcode\jz54\54.priorityqueue.cpp", "C++", 19, 0, 0, 0, 0, 0, 19
"e:\F_Backup\leetcode\lc03.05\lazyUpdate.cpp", "C++", 48, 0, 0, 0, 11, 6, 65
"e:\F_Backup\leetcode\lc03.05\lc03.05.cpp", "C++", 55, 0, 0, 0, 8, 7, 70
"e:\F_Backup\leetcode\lc111.cpp", "C++", 16, 0, 0, 0, 11, 0, 27
"e:\F_Backup\leetcode\lc113\lc113.cpp", "C++", 63, 0, 0, 0, 10, 1, 74
"e:\F_Backup\leetcode\lc113\nonRecur.cpp", "C++", 73, 0, 0, 0, 20, 2, 95
"e:\F_Backup\leetcode\lc113\vectorTest.cpp", "C++", 16, 0, 0, 0, 0, 0, 16
"e:\F_Backup\leetcode\lc151.cpp", "C++", 46, 0, 0, 0, 0, 0, 46
"e:\F_Backup\leetcode\lc1\1.hashmap.cpp", "C++", 27, 0, 0, 0, 0, 0, 27
"e:\F_Backup\leetcode\lc1\1.两数之和.cpp", "C++", 20, 0, 0, 0, 7, 2, 29
"e:\F_Backup\leetcode\lc200\NonRecursive_DFS.cpp", "C++", 63, 0, 0, 0, 4, 3, 70
"e:\F_Backup\leetcode\lc206\iterative.cpp", "C++", 16, 0, 0, 0, 11, 0, 27
"e:\F_Backup\leetcode\lc215\mySelf.cpp", "C++", 47, 0, 0, 0, 4, 1, 52
"e:\F_Backup\leetcode\lc215\usestd.cpp", "C++", 15, 0, 0, 0, 1, 1, 17
"e:\F_Backup\leetcode\lc22.cpp", "C++", 22, 0, 0, 0, 5, 0, 27
"e:\F_Backup\leetcode\lc239.cpp", "C++", 27, 0, 0, 0, 6, 0, 33
"e:\F_Backup\leetcode\lc26.cpp", "C++", 20, 0, 0, 0, 0, 0, 20
"e:\F_Backup\leetcode\lc289.cpp", "C++", 55, 0, 0, 0, 0, 0, 55
"e:\F_Backup\leetcode\lc2\2.badSolution.cpp", "C++", 80, 0, 0, 0, 21, 2, 103
"e:\F_Backup\leetcode\lc2\2.newSolution.cpp", "C++", 86, 0, 0, 0, 18, 3, 107
"e:\F_Backup\leetcode\lc2\practice.cpp", "C++", 70, 0, 0, 0, 14, 12, 96
"e:\F_Backup\leetcode\lc300\dp_n2solution.cpp", "C++", 27, 0, 0, 0, 17, 2, 46
"e:\F_Backup\leetcode\lc300\nlogn.cpp", "C++", 37, 0, 0, 0, 16, 2, 55
"e:\F_Backup\leetcode\lc347\Min-Heap.cpp", "C++", 34, 0, 0, 0, 3, 0, 37
"e:\F_Backup\leetcode\lc347\hashBucketSort.cpp", "C++", 36, 0, 0, 0, 2, 1, 39
"e:\F_Backup\leetcode\lc38.cpp", "C++", 29, 0, 0, 0, 0, 0, 29
"e:\F_Backup\leetcode\lc3\2pointer+hashbucket.cpp", "C++", 29, 0, 0, 0, 10, 0, 39
"e:\F_Backup\leetcode\lc3\2pointer+hashmap.cpp", "C++", 33, 0, 0, 0, 7, 1, 41
"e:\F_Backup\leetcode\lc4.cpp", "C++", 75, 0, 0, 0, 8, 1, 84
"e:\F_Backup\leetcode\lc40\lc40.dp.cpp", "C++", 20, 0, 0, 0, 0, 2, 22
"e:\F_Backup\leetcode\lc40\lc40.n2.cpp", "C++", 20, 0, 0, 0, 0, 0, 20
"e:\F_Backup\leetcode\lc40\lc40.stack.cpp", "C++", 21, 0, 0, 0, 6, 0, 27
"e:\F_Backup\leetcode\lc40\stack.sample.cpp", "C++", 26, 0, 0, 0, 4, 2, 32
"e:\F_Backup\leetcode\lc494\01package.cpp", "C++", 9, 0, 0, 0, 0, 0, 9
"e:\F_Backup\leetcode\lc494\dfsBruteForce.cpp", "C++", 15, 0, 0, 0, 1, 0, 16
"e:\F_Backup\leetcode\lc5.cpp", "C++", 28, 0, 0, 0, 4, 0, 32
"e:\F_Backup\leetcode\lc557.cpp", "C++", 35, 0, 0, 0, 1, 0, 36
"e:\F_Backup\leetcode\lc65.cpp", "C++", 49, 0, 0, 0, 3, 1, 53
"e:\F_Backup\leetcode\lc7.cpp", "C++", 25, 0, 0, 0, 3, 0, 28
"e:\F_Backup\leetcode\lc72\lc72.cpp", "C++", 30, 0, 0, 0, 5, 0, 35
"e:\F_Backup\leetcode\lc74.cpp", "C++", 25, 0, 0, 0, 0, 1, 26
"e:\F_Backup\leetcode\lc8.cpp", "C++", 42, 0, 0, 0, 8, 0, 50
"e:\F_Backup\leetcode\lc887\method2.cpp", "C++", 25, 0, 0, 0, 10, 2, 37
"e:\F_Backup\leetcode\lib\general.h", "C++", 30, 0, 0, 0, 0, 2, 32
"e:\F_Backup\leetcode\linkedListTemplate.cpp", "C++", 50, 0, 0, 0, 13, 4, 67
"e:\F_Backup\leetcode\nkSeqMaintainance.cpp", "C++", 24, 0, 0, 0, 0, 0, 24
"e:\F_Backup\leetcode\tencentInterview\reverseNumber.cpp", "C++", 14, 0, 0, 0, 1, 0, 15
"e:\F_Backup\leetcode\tests\19.删除链表的倒数第n个节点.java", "Java", 0, 0, 0, 33, 11, 4, 48
"e:\F_Backup\leetcode\tests\cpptest.cpp", "C++", 8, 0, 0, 0, 0, 0, 8
"e:\F_Backup\leetcode\tests\testPair.cpp", "C++", 10, 0, 0, 0, 1, 2, 13
"e:\F_Backup\leetcode\tests\unorderedmap_test.cpp", "C++", 4, 0, 0, 0, 0, 0, 4
"e:\F_Backup\leetcode\treeTraverse.cpp", "C++", 175, 0, 0, 0, 19, 7, 201
"e:\F_Backup\leetcode\tx\tx1.cpp", "C++", 62, 0, 0, 0, 1, 0, 63
"e:\F_Backup\leetcode\tx\tx2.cpp", "C++", 44, 0, 0, 0, 9, 3, 56
"e:\F_Backup\leetcode\单调栈\496.下一个更大元素-i.cpp", "C++", 24, 0, 0, 0, 8, 4, 36
"e:\F_Backup\leetcode\单调栈\503.下一个更大元素-ii.cpp", "C++", 35, 0, 0, 0, 10, 4, 49
"e:\F_Backup\leetcode\单调栈\556.下一个更大元素-iii.cpp", "C++", 78, 0, 0, 0, 11, 3, 92
"e:\F_Backup\leetcode\单调栈\tx2.cpp", "C++", 44, 0, 0, 0, 9, 3, 56
"Total", "-", 3001, 8, 52, 33, 533, 160, 3787
